bin,n,predicted,observed,model
1,2348,0.03692163918802407,0.030238500851788756,Logistic regression
2,2348,0.057552246920919384,0.05877342419080068,Logistic regression
3,2348,0.07544399664280309,0.0873083475298126,Logistic regression
4,2348,0.09266782667775944,0.10051107325383304,Logistic regression
5,2347,0.10991523908903728,0.10907541542394546,Logistic regression
6,2347,0.1278537417812734,0.1367703451214316,Logistic regression
7,2347,0.14930034578062384,0.1401789518534299,Logistic regression
8,2347,0.1753902678001601,0.1798040051129101,Logistic regression
9,2347,0.21132281239879916,0.21729867916489135,Logistic regression
10,2347,0.30141448748285704,0.2803579037068598,Logistic regression
1,2348,0.035250360654136184,0.031090289608177172,Gradient boosting
2,2348,0.058278535169669896,0.059625212947189095,Gradient boosting
3,2348,0.07655368617263056,0.07197614991482112,Gradient boosting
4,2348,0.09254662415120408,0.0975298126064736,Gradient boosting
5,2347,0.10891473987286696,0.11887515977844056,Gradient boosting
6,2347,0.12725638898467426,0.13719642096293141,Gradient boosting
7,2347,0.14866279426059342,0.1533873029399233,Gradient boosting
8,2347,0.17530288897158416,0.17767362590541116,Gradient boosting
9,2347,0.21308335766059658,0.20664678312739668,Gradient boosting
10,2347,0.301038728119532,0.28632296548785685,Gradient boosting
1,2348,0.03207345296324824,0.025979557069846677,Random forest
2,2348,0.06021264633235938,0.06047700170357751,Random forest
3,2348,0.08077263658945648,0.07751277683134583,Random forest
4,2348,0.09872377330271705,0.09028960817717206,Random forest
5,2347,0.1162700385861769,0.12100553898593949,Random forest
6,2347,0.13469620446739158,0.14230933106092886,Random forest
7,2347,0.15564820565121829,0.15296122709842352,Random forest
8,2347,0.1809196659655884,0.18193438432040904,Random forest
9,2347,0.21362256072842534,0.19727311461440136,Random forest
10,2347,0.27490404413894987,0.2905837239028547,Random forest
