feature,variable,mean_coefficient,sd_coefficient,cv,sign_agreement,mean_rank,sd_rank,lo,hi
Sub-grade (target-encoded),sub_grade_te,0.32766469765867584,0.03524022258630478,0.10754964705723065,1.0,2.44,1.4992125236119038,0.2627665305657068,0.3962225301932276
Debt-to-income (reported),dti,0.30028926633520137,0.11628271807889451,0.3872356794434756,1.0,4.505,3.372960019994665,0.12490859403191343,0.5074828647262617
Interest rate,int_rate,0.23280678345939126,0.055727697247636314,0.23937316782419682,1.0,5.845,3.374598431349176,0.11144701976539334,0.3383499571738545
Loan amount,loan_amnt,-0.2728350638449706,0.13355525636628043,0.48950913597443163,0.98,6.345,7.8481809818338215,-0.5635663290592576,-0.022924214537192754
Loan-to-income,loan_to_income,0.25208355240775615,0.12360726523487942,0.49034244421841244,0.965,6.69,6.681851216421386,-0.029268385310601924,0.4861787966493328
"Credit inquiries, 6 months",inq_last_6mths,0.20950733235476884,0.03279470190931685,0.15653247807949747,1.0,7.02,2.6561013481904823,0.1441435293504153,0.2707826387732159
Interest rate x Debt-to-income (reported),int_rate_x_dti,-0.1910914688288466,0.054303982441016134,0.2841779529658342,1.0,8.57,4.039391466184656,-0.3003058733980737,-0.07695187060104056
Purpose (target-encoded),purpose_te,0.18362669117267838,0.012747549684864053,0.0694210063006393,1.0,8.655,2.209157505571323,0.15939218222615453,0.20884977213862543
State (target-encoded),addr_state_te,0.18375054596252113,0.012574078909945973,0.06843015809330252,1.0,8.805,2.3289687583535623,0.16076543953143693,0.21150308132137124
No public record,no_public_record,-0.15319752390970215,0.06667043919374163,0.43519266821204367,0.985,12.295,7.3449107256548185,-0.2708013350235081,-0.033515945821839435
Monthly installment,installment,0.15910804520325894,0.13130271486126857,0.8252424614577513,0.89,13.53,9.883192168382942,-0.08995102153526208,0.4399743772486469
Interest rate x Loan-to-income,int_rate_x_loan_to_income,0.13708482741734201,0.05812231491338189,0.4239879497125813,0.995,13.72,6.824549242390229,0.0308658114125429,0.2516430998303444
Payment-to-income,installment_to_income,-0.14698623135483588,0.13128679435100352,0.893191104642089,0.865,13.945,10.943067606627315,-0.3795646408067973,0.10801543643576005
Log revolving balance,log_revol_bal,-0.11353614746483225,0.017881094740144127,0.15749252673632233,1.0,14.265,2.2156988983253574,-0.1449600692132581,-0.0771957123417692
Log annual income,log_annual_inc,-0.10420410139544621,0.036469332214317134,0.3499798158224017,1.0,16.39,5.596831479780799,-0.175795091570155,-0.034429647170025245
