protocol,fold,n_train,n_test,minority_train,minority_test,test_default_rate,roc_auc,pr_auc,brier,ece,precision,recall,f1,balanced_accuracy
K-fold (5),1,43816,10955,5848,1492,0.13619351894112278,0.6709854013047571,0.237167361545911,0.11262702606314971,0.009234288589772283,0.34210526315789475,0.00871313672922252,0.016993464052287584,0.50303563419997
K-fold (5),2,43817,10954,5857,1483,0.13538433448968412,0.6752063455515589,0.23498005469520192,0.11199723188306047,0.01136314330709433,0.42857142857142855,0.008091706001348618,0.01588352084712111,0.5032011692291612
K-fold (5),3,43817,10954,5805,1535,0.14013145882782546,0.6808659328483248,0.25350667255083553,0.11438349151379912,0.009128639140311713,0.5,0.0071661237785016286,0.014129736673089272,0.5029991357824454
K-fold (5),4,43817,10954,5872,1468,0.13401497169983567,0.6791596220100065,0.24446061278666809,0.11042054251147729,0.006537193055252186,0.43243243243243246,0.010899182561307902,0.021262458471760795,0.5043426969100024
K-fold (5),5,43817,10954,5978,1362,0.1243381413182399,0.6842898787413397,0.24233445430751088,0.1032898087488076,0.011319329563752156,0.41935483870967744,0.009544787077826725,0.01866475233309404,0.5038341116373287
K-fold (10),1,49293,5478,6607,733,0.13380795910916393,0.6687915907748085,0.22869923596324176,0.11132907394324167,0.00929210166852328,0.23529411764705882,0.005457025920873124,0.010666666666666666,0.501358649946738
K-fold (10),2,49294,5477,6581,759,0.13857951433266386,0.6743718587351667,0.24775534563764842,0.11380726310887145,0.008235019102289446,0.5,0.011857707509881422,0.02316602316602316,0.5049750597744405
K-fold (10),3,49294,5477,6592,748,0.13657111557421947,0.6676222941165162,0.22442372397246813,0.11379351938441387,0.012746741956615069,0.35714285714285715,0.0066844919786096255,0.013123359580052492,0.5023906706033882
K-fold (10),4,49294,5477,6605,735,0.1341975534051488,0.6866186373326219,0.2544133504198002,0.1098458626610475,0.011275688674080903,0.6666666666666666,0.010884353741496598,0.021419009370816602,0.505020413901537
K-fold (10),5,49294,5477,6554,786,0.14350922037611832,0.6690601297596014,0.24935804422699673,0.11751049313692603,0.014627946731463929,0.5833333333333334,0.008905852417302799,0.017543859649122806,0.5039199908004229
K-fold (10),6,49294,5477,6591,749,0.1367536972795326,0.6945103341398232,0.2628145509092117,0.11107742377551735,0.014530744438306965,0.4444444444444444,0.0053404539385847796,0.010554089709762533,0.5021414621638779
K-fold (10),7,49294,5477,6648,692,0.1263465400766843,0.6884815868471439,0.2415380971386548,0.10472831642913344,0.01047845550365648,0.4375,0.010115606936416185,0.01977401129943503,0.5041173645967347
K-fold (10),8,49294,5477,6564,776,0.14168340332298704,0.6680923887657155,0.2488957840042324,0.11623660546805094,0.009088298135265268,0.4166666666666667,0.01288659793814433,0.024999999999999998,0.5049542540850049
K-fold (10),9,49294,5477,6671,669,0.12214716085448238,0.691405268747404,0.24181503823390382,0.10149404057395434,0.012728555842304284,0.47058823529411764,0.01195814648729447,0.023323615160349854,0.5050431331438137
K-fold (10),10,49294,5477,6647,693,0.12652912178199743,0.6771993103514842,0.24765433141143206,0.10488989496070565,0.00951231111074155,0.4375,0.010101010101010102,0.01974612129760226,0.5041098695990001
Stratified k-fold (5),1,43816,10955,5872,1468,0.13400273847558192,0.6774293748881662,0.23800433340282864,0.11076306778310775,0.006897985613741398,0.43902439024390244,0.01226158038147139,0.023856858846918492,0.504918605095342
Stratified k-fold (5),2,43817,10954,5872,1468,0.13401497169983567,0.6895964137024533,0.24781510915912433,0.10989308955447535,0.0067375459774907265,0.39285714285714285,0.007493188010899182,0.014705882352941175,0.5028505366577793
Stratified k-fold (5),3,43817,10954,5872,1468,0.13401497169983567,0.6816942621881895,0.2469228728229536,0.11024416032596533,0.00646840154641214,0.3225806451612903,0.006811989100817439,0.0133422281521014,0.5022991001797572
Stratified k-fold (5),4,43817,10954,5872,1468,0.13401497169983567,0.6660589303841427,0.23082162314188437,0.11159889444731246,0.01292056691345278,0.3783783783783784,0.009536784741144414,0.0186046511627907,0.5035560794884301
Stratified k-fold (5),5,43817,10954,5872,1468,0.13401497169983567,0.6776714831723906,0.25648373980218453,0.10985270127284875,0.005878709038165652,0.6071428571428571,0.011580381471389645,0.022727272727272728,0.5052103889224965
Stratified k-fold (10),1,49293,5478,6606,734,0.13399050748448338,0.6609409964573062,0.2153369814663535,0.11262195653156454,0.011723435591150187,0.3181818181818182,0.009536784741144414,0.01851851851851852,0.5031874480198134
Stratified k-fold (10),2,49294,5477,6606,734,0.13401497169983567,0.6937845015830012,0.2641015116799577,0.10901722238817468,0.00933228492314983,0.5789473684210527,0.014986376021798364,0.029216467463479414,0.5066498399189743
Stratified k-fold (10),3,49294,5477,6606,734,0.13401497169983567,0.6849686990321604,0.23580129346978457,0.11065880378857784,0.014526492012534815,0.4,0.008174386920980926,0.016021361815754337,0.5031384268570749
Stratified k-fold (10),4,49294,5477,6606,734,0.13401497169983567,0.694811398527358,0.26556950189069123,0.10898646871811386,0.006828441217948404,0.6,0.008174386920980926,0.016129032258064516,0.503665519414528
Stratified k-fold (10),5,49294,5477,6606,734,0.13401497169983567,0.681838889492101,0.2585368984768521,0.10963680017083353,0.011168517778003014,0.5,0.006811989100817439,0.013440860215053762,0.5028789019929556
Stratified k-fold (10),6,49294,5477,6606,734,0.13401497169983567,0.6823478856838214,0.24063449036287288,0.11080392299006622,0.007738751179282064,0.30434782608695654,0.009536784741144414,0.018494055482166448,0.5030816961867224
Stratified k-fold (10),7,49294,5477,6606,734,0.13401497169983567,0.6648271567277404,0.22780477096179125,0.11188924304299022,0.01122560400219615,0.3333333333333333,0.008174386920980926,0.015957446808510637,0.502822171322603
Stratified k-fold (10),8,49294,5477,6606,734,0.13401497169983567,0.6689726607000364,0.23546052040425802,0.11117442864509935,0.01785026928011408,0.4117647058823529,0.009536784741144414,0.018641810918774968,0.5037142072556661
Stratified k-fold (10),9,49294,5477,6606,734,0.13401497169983567,0.6813097862273443,0.2489568940436127,0.11003042353621928,0.012816651638921992,0.3333333333333333,0.004087193460490463,0.00807537012113055,0.5014110856613015
Stratified k-fold (10),10,49294,5477,6606,734,0.13401497169983567,0.6741223693485481,0.2628285393345079,0.10969939826102662,0.009632137439962215,0.6818181818181818,0.020435967302452316,0.03968253968253968,0.5094800540707918
Repeated stratified (5 x 5),1,43816,10955,5872,1468,0.13400273847558192,0.6774293748881662,0.23800433340282864,0.11076306778310775,0.006897985613741398,0.43902439024390244,0.01226158038147139,0.023856858846918492,0.504918605095342
