variable,level,loans,default_rate,mean_predicted,false_negative_rate,false_positive_rate,recall,precision,calibration_gap
Grade,A,6267,0.06733684378490506,0.06517463719154229,0.9976303317535545,0.0005132591958939265,0.002369668246445498,0.25,-0.0021622065933627754
Grade,B,8130,0.12324723247232472,0.12180387833117078,0.9600798403193613,0.015432098765432098,0.03992015968063872,0.26666666666666666,-0.0014433541411539436
Grade,C,5095,0.16506378802747793,0.17132536772772672,0.8347205707491082,0.08533145275035262,0.16527942925089179,0.27689243027888444,0.006261579700248793
Grade,D,2844,0.2039381153305204,0.20446883962448914,0.7,0.19213780918727916,0.3,0.2857142857142857,0.0005307242939687484
Grade,E,811,0.24537607891491986,0.2332523802097483,0.5125628140703518,0.29248366013071897,0.48743718592964824,0.35144927536231885,-0.012123698705171548
Grade,F,219,0.2922374429223744,0.2927768923913535,0.3125,0.45161290322580644,0.6875,0.38596491228070173,0.000539449468979103
Grade,G,108,0.35185185185185186,0.311346540546343,0.2631578947368421,0.5285714285714286,0.7368421052631579,0.4307692307692308,-0.040505311305508884
Purpose,car,591,0.09644670050761421,0.09434220530987157,0.9824561403508771,0.024344569288389514,0.017543859649122806,0.07142857142857142,-0.0021044951977426396
Purpose,credit_card,4193,0.10422132124970189,0.11089938314666314,0.9267734553775744,0.017838125665601706,0.07322654462242563,0.32323232323232326,0.006678061896961254
Purpose,debt_consolidation,11969,0.13501545659620687,0.14266470439438825,0.8471534653465347,0.06500531246981552,0.15284653465346534,0.2684782608695652,0.00764924779818138
Purpose,educational,125,0.224,0.2296791022457245,0.5357142857142857,0.26804123711340205,0.4642857142857143,0.3333333333333333,0.005679102245724488
Purpose,home_improvement,1515,0.12343234323432344,0.097488653035274,0.9144385026737968,0.022590361445783132,0.0855614973262032,0.34782608695652173,-0.025943690199049435
Purpose,house,201,0.15920398009950248,0.1429296267694663,0.65625,0.09467455621301775,0.34375,0.4074074074074074,-0.016274353330036184
Purpose,major_purchase,918,0.10130718954248366,0.0892674124247319,0.956989247311828,0.01696969696969697,0.043010752688172046,0.2222222222222222,-0.012039777117751754
Purpose,medical,361,0.18282548476454294,0.1345660384353445,0.8787878787878788,0.07457627118644068,0.12121212121212122,0.26666666666666666,-0.04825944632919843
Purpose,moving,281,0.17793594306049823,0.15013217059501854,0.78,0.08225108225108226,0.22,0.36666666666666664,-0.027803772465479687
Purpose,other,1815,0.16033057851239668,0.1564001267437795,0.7353951890034365,0.09317585301837271,0.2646048109965636,0.3515981735159817,-0.003930451768617171
Purpose,small_business,782,0.2506393861892583,0.21022900332153596,0.5459183673469388,0.2713310580204778,0.45408163265306123,0.3588709677419355,-0.04041038286772233
Purpose,vacation,203,0.12807881773399016,0.13831216690318787,0.7307692307692307,0.03954802259887006,0.2692307692307692,0.5,0.010233349169197714
Purpose,wedding,462,0.11688311688311688,0.10381498077754836,0.9074074074074074,0.0024509803921568627,0.09259259259259259,0.8333333333333334,-0.01306813610556852
Term (months),36,22479,0.13003247475421503,0.12994228724329837,0.8593910366062265,0.05052157905502148,0.14060896339377352,0.2937812723373838,-9.018751091666166e-05
Term (months),60,995,0.2241206030150754,0.22016651436918794,0.4977578475336323,0.2707253886010363,0.5022421524663677,0.34890965732087226,-0.003954088645887449
Home ownership,MORTGAGE,10181,0.11973283567429525,0.11883289640891309,0.859721082854799,0.03927694711002008,0.140278917145201,0.32695984703632885,-0.0008999392653821631
Home ownership,OWN,1880,0.14574468085106382,0.1383786264788902,0.8576642335766423,0.06351183063511831,0.14233576642335766,0.2765957446808511,-0.007366054372173608
Home ownership,RENT,11356,0.14441704825642832,0.14610518953709303,0.8128048780487804,0.07554549197200494,0.1871951219512195,0.29490874159462055,0.0016881412806647178
Income,fourth,4425,0.11457627118644068,0.116478124046969,0.8974358974358975,0.026544155181214904,0.10256410256410256,0.3333333333333333,0.0019018528605283247
Income,highest fifth,4683,0.09609224855861627,0.09592040475377668,0.9133333333333333,0.01511930073234113,0.08666666666666667,0.3786407766990291,-0.00017184380483958872
Income,lowest fifth,4704,0.1787840136054422,0.1757872339890474,0.7312722948870393,0.13150401242557597,0.26872770511296074,0.3079019073569482,-0.0029967796163948013
Income,second,5153,0.14787502425771396,0.14642244253808628,0.84251968503937,0.07697563197449328,0.15748031496062992,0.26200873362445415,-0.0014525817196276714
Income,third,4507,0.1300199689372088,0.13174539254234327,0.8532423208191127,0.046671767406273906,0.14675767918088736,0.31970260223048325,0.001725423605134474
