model,method,fold,roc_auc,pr_auc,brier,log_loss,ece,mean_predicted,threshold,tp,fp,tn,fn,accuracy,precision,recall,specificity,f1,balanced_accuracy,g_mean,mcc
Logistic regression,None,1,0.6774293748881662,0.23800433340282864,0.11076306778310775,0.3710829626139726,0.006897985613741398,0.13440832158294785,0.5,18,23,9464,1450,0.8655408489274304,0.43902439024390244,0.01226158038147139,0.9975756298092127,0.023856858846918492,0.504918605095342,0.1105977114207279,0.05488017985848834
Gradient boosting,None,1,0.6801008924014477,0.2390390245365877,0.11051336784952977,0.3700882714161696,0.00690068128618671,0.133987846660263,0.5,7,14,9473,1461,0.8653582838886353,0.3333333333333333,0.004768392370572207,0.9985242964056077,0.009402283411685697,0.50164634438809,0.06900257703022027,0.025643599130264653
Logistic regression,Class weight,1,0.6782051388835834,0.2389523361030877,0.22563044570140117,0.6421423065176897,0.327045589086041,0.4610483275616229,0.5,938,3636,5851,530,0.6197170241898676,0.20507214691735898,0.6389645776566758,0.616738695056393,0.3104932141674942,0.6278516363565344,0.6277532794109781,0.17663278320562006
Gradient boosting,Class weight,1,0.6795024828181631,0.23724220761154408,0.21448947998980905,0.6141433032331383,0.3083745927083944,0.4423773311839764,0.5,900,3430,6057,568,0.6350524874486536,0.20785219399538107,0.6130790190735694,0.6384526193738801,0.3104518799586064,0.6257658192237248,0.6256371996698161,0.17526016182710938
Logistic regression,Random over,1,0.677653114300395,0.23843007128891286,0.22576301824789835,0.6426482110709248,0.32755784733317983,0.46156058580876175,0.5,934,3642,5845,534,0.6188041989958923,0.20410839160839161,0.6362397820163488,0.6161062506587962,0.30906684315023164,0.6261730163375725,0.6260920911639616,0.17430291506157414
Gradient boosting,Random over,1,0.6671889885743549,0.23286469200347018,0.19147800951355776,0.5621522257332825,0.25978640956995563,0.3937891480455375,0.5,734,2554,6933,734,0.6998630762209037,0.2232360097323601,0.5,0.7307895014229999,0.3086627417998318,0.6153947507115,0.6044789084091354,0.17153979667112093
Logistic regression,Random under,1,0.6773679829762742,0.23902287942561187,0.22568176918097432,0.6431695905619063,0.3278137682727806,0.46181650674836255,0.5,931,3611,5876,537,0.6213601095390233,0.20497578159401145,0.6341961852861036,0.6193738800463793,0.30981697171381034,0.6267850326662414,0.6267412161261348,0.17533607311218682
Gradient boosting,Random under,1,0.6761490483607426,0.22660460518715164,0.22927995812845478,0.6481131063856652,0.3295449271348201,0.4635476656104021,0.5,956,3730,5757,512,0.612779552715655,0.20401195049082374,0.6512261580381471,0.6068303994940445,0.31069223269418267,0.6290282787660958,0.6286364844989992,0.1776814544349388
Logistic regression,SMOTE,1,0.67501706766954,0.23445825779558244,0.22628291918991092,0.642961343167618,0.32515612611371564,0.4591588645892976,0.5,936,3668,5819,532,0.6166134185303515,0.20330147697654213,0.6376021798365122,0.6133656582692105,0.308300395256917,0.6254839190528614,0.6253665171315985,0.17320356782126786
Gradient boosting,SMOTE,1,0.6688622951412933,0.2254517292230691,0.11298529714165782,0.3769470648101414,0.023660454235205144,0.15595591968328998,0.5,32,72,9415,1436,0.8623459607485167,0.3076923076923077,0.021798365122615803,0.9924106672288394,0.04071246819338422,0.5071045161757276,0.1470813722938191,0.0499160751355692
Logistic regression,ADASYN,1,0.6735461030999254,0.23225870379108798,0.2330327060110756,0.6574564395699614,0.33831037431265815,0.47231311278824,0.5,977,3932,5555,491,0.596257416704701,0.19902220411489102,0.6655313351498637,0.5855381047749552,0.3064136741414458,0.6255347199624095,0.62425472096893,0.17198506876547612
Gradient boosting,ADASYN,1,0.6656941134706348,0.22661196677311296,0.11293172166314829,0.3773723175396948,0.023092462738958985,0.15531658091024092,0.5,36,61,9426,1432,0.8637151985394796,0.3711340206185567,0.02452316076294278,0.9935701486244334,0.04600638977635783,0.509046654693688,0.1560944601322479,0.06579375931711562
Logistic regression,Tomek links,1,0.6777873866690945,0.23784731330659553,0.11096529078516414,0.37151345270530123,0.011734931913925436,0.14166500103339233,0.5,21,31,9456,1447,0.8650844363304427,0.40384615384615385,0.01430517711171662,0.996732370612417,0.02763157894736842,0.5055187738620668,0.11940868098505987,0.05470479496325739
Gradient boosting,Tomek links,1,0.6838308639184728,0.24422770226483514,0.1103564834449069,0.369334195621105,0.008993206227986914,0.14136801099700214,0.5,11,28,9459,1457,0.8644454586946599,0.28205128205128205,0.007493188010899182,0.9970485928112154,0.014598540145985401,0.5022708904110573,0.08643536638400337,0.02597703522173829
Logistic regression,ENN,1,0.6783109771036172,0.23874291283436747,0.1192317963286253,0.391853365970192,0.0648370384189169,0.19883977689449883,0.5,139,302,9185,1329,0.8511182108626199,0.31519274376417233,0.0946866485013624,0.9681669653209656,0.14562598218962808,0.531426806911164,0.30277464414309363,0.10893174227536093
Gradient boosting,ENN,1,0.677516113402278,0.23671362282087008,0.12012978312970952,0.39296914489650636,0.06499126520340873,0.19899400367899064,0.5,164,375,9112,1304,0.8467366499315381,0.3042671614100185,0.11171662125340599,0.9604722251502056,0.1634280019930244,0.5360944232018058,0.3275678735796928,0.11369797023085527
Logistic regression,SMOTE-Tomek,1,0.6749989014078925,0.23445901458239113,0.2262855139199534,0.6429608704833295,0.325110689248519,0.4591134277241009,0.5,936,3670,5817,532,0.6164308534915564,0.2032132001736865,0.6376021798365122,0.6131548434700116,0.3081988804741521,0.625378511653262,0.6252590381384302,0.17304774864713587
Gradient boosting,SMOTE-Tomek,1,0.670613436600034,0.23301162836074255,0.11242735517614025,0.375936833396437,0.023673205740527586,0.15508505164146277,0.5,34,50,9437,1434,0.8645367412140575,0.40476190476190477,0.02316076294277929,0.9947296300200275,0.04381443298969072,0.5089451964814034,0.15178503599845541,0.0698671402078594
Logistic regression,SMOTE-ENN,1,0.676263502989463,0.23538979530510504,0.3601066792336431,0.9967001969143507,0.47296158561852114,0.6069643240941032,0.5,1265,6225,3262,203,0.4132359653126426,0.16889185580774366,0.861716621253406,0.34383893749341204,0.2824291136414378,0.602777779373409,0.5443268572027142,0.1505789191489617
Gradient boosting,SMOTE-ENN,1,0.6728546363028254,0.23142817886237782,0.15324425006982612,0.47175427965159883,0.1531646932888734,0.2865305107711163,0.5,507,1432,8055,961,0.7815609310816979,0.26147498710675604,0.34536784741144416,0.8490566037735849,0.29762254182565306,0.5972122255925145,0.541513482358246,0.1735331713795966
Logistic regression,None,2,0.6895964137024533,0.24781510915912433,0.10989308955447535,0.3678122382175332,0.0067375459774907265,0.13388211680469325,0.5,11,17,9469,1457,0.865437283184225,0.39285714285714285,0.007493188010899182,0.9982078853046595,0.014705882352941175,0.5028505366577793,0.0864856020303374,0.0384637479622781
Gradient boosting,None,2,0.6878250523789252,0.2433081767513022,0.11008859243429273,0.36832541350872733,0.00928172565065468,0.1338936809922143,0.5,7,8,9478,1461,0.8658937374475077,0.4666666666666667,0.004768392370572207,0.999156651908075,0.009440323668240054,0.5019625221393236,0.06902442289483438,0.036158858158480606
Logistic regression,Class weight,2,0.6893000498080923,0.24699787296398534,0.22429342343634645,0.6391167231577801,0.32785061975024277,0.46186559145007844,0.5,958,3584,5902,510,0.6262552492240278,0.21092029942756496,0.6525885558583107,0.622180054817626,0.31880199667221304,0.6373843053379683,0.6372029374204728,0.1899990300908241
Gradient boosting,Class weight,2,0.6866665977281305,0.24173266167927773,0.2109228228869402,0.6067539161858104,0.3039069751744164,0.43792194687425207,0.5,915,3289,6197,553,0.6492605440934819,0.2176498572787821,0.6232970027247956,0.6532785157073582,0.3226375176304655,0.6382877592160769,0.6381116993010704,0.19374704301631615
Logistic regression,Random over,2,0.689260625582746,0.24669939029335464,0.22498044395672898,0.640743544868965,0.3294827033275539,0.4634976750273896,0.5,965,3626,5860,503,0.623060069381048,0.2101938575473753,0.6573569482288828,0.61775247733502,0.318534411619079,0.6375547127819514,0.6372471131843446,0.18994394336866796
Gradient boosting,Random over,2,0.6693913904960185,0.2272795005340342,0.19082275610080005,0.560882946654232,0.26066933905766226,0.39468431075749794,0.5,718,2490,6996,750,0.7042176373927332,0.2238154613466334,0.4891008174386921,0.7375079063883618,0.30710008554319934,0.613304361913527,0.6005961370855178,0.1696388371756242
Logistic regression,Random under,2,0.6879553892987859,0.24585921010887274,0.224692604390122,0.6395078700941041,0.3279415342302457,0.4619565059300814,0.5,952,3645,5841,516,0.620138762096038,0.2070915814661736,0.6485013623978202,0.6157495256166983,0.3139323990107173,0.6321254440072592,0.6319132901421209,0.1824137979962537
Gradient boosting,Random under,2,0.678890115420344,0.23611668459845797,0.22633499398888746,0.642078587874238,0.3284693116125079,0.4624842833123436,0.5,949,3718,5768,519,0.6132006572941391,0.20334261838440112,0.646457765667575,0.6080539742778832,0.3093724531377343,0.6272558699727291,0.6269618916784093,0.17533627561762313
