model,method,roc_auc,pr_auc,brier,log_loss,ece,mean_predicted,threshold,tp,fp,tn,fn,accuracy,precision,recall,specificity,f1,balanced_accuracy,g_mean,mcc,roc_auc_fold_sd,f1_fold_sd
Gradient boosting,None,0.6769240684460208,0.23883590678224703,0.11059837582219426,0.37066623398399534,0.005605152721752327,0.13373949449754224,0.5,43,42,47389,7297,0.8660057329608735,0.5058823529411764,0.005858310626702997,0.9991145031730303,0.011582491582491583,0.5024864068998667,0.07650570639652737,0.043036191025061066,0.00827973217814588,0.004288262357312267
Gradient boosting,Class weight,0.6761686975435477,0.2378603355872784,0.21450142149353288,0.61454883938466,0.30850466325667875,0.4425171881329819,0.5,4452,16974,30457,2888,0.6373628379982107,0.20778493419210306,0.6065395095367847,0.6421327823575299,0.30953208649099634,0.6243361459471573,0.6240824487747009,0.17358838249485622,0.007935196087304341,0.008059901569274216
Gradient boosting,Random over,0.6635550325018238,0.22817597713134918,0.1918662617575965,0.5629569841325576,0.2598580711094505,0.39387059598575364,0.5,3554,12791,34640,3786,0.6973398331233682,0.2174365249311716,0.48419618528610353,0.7303240496721554,0.30010555203715433,0.6072601174791294,0.5946596664260629,0.15971377794087924,0.006019898791134628,0.009045820551741239
Gradient boosting,Random under,0.6730245289055198,0.23071641211453547,0.22774853575078288,0.6448927635058254,0.32889915240808015,0.46291167728438337,0.5,4703,18567,28864,2637,0.6128608205072027,0.20210571551353673,0.6407356948228883,0.6085471527060361,0.3072852009147337,0.6246414237644622,0.6244340499376955,0.1717952712257772,0.007183876499101434,0.005756017211394552
Gradient boosting,SMOTE,0.6672205694237499,0.23069045916261158,0.11268098630627017,0.3765156863274626,0.02250421644689906,0.15532367534140148,0.5,192,307,47124,7148,0.8638878238483869,0.3847695390781563,0.026158038147138966,0.9935274398600071,0.04898584003061615,0.509842739003573,0.16121020027308253,0.07058086060087294,0.007450080559315688,0.005518719081523163
Gradient boosting,ADASYN,0.6679893931106693,0.23049154959459914,0.11245293109060046,0.376128657201036,0.021338670218964757,0.15453436710212554,0.5,147,242,47189,7193,0.8642529805919191,0.37789203084832906,0.02002724795640327,0.9948978516160317,0.03803855608746281,0.5074625497862175,0.1411561757969065,0.060547193758988996,0.008386329862102462,0.005160037794871534
Gradient boosting,Tomek links,0.6788235478963649,0.23950798530186437,0.11070522836075103,0.37062008556563875,0.008571178626508158,0.1411865338268091,0.5,82,106,47325,7258,0.8655492870314583,0.43617021276595747,0.0111716621253406,0.9977651746747908,0.021785334750265676,0.5044684184000657,0.1055779115719676,0.05205415154965981,0.009067133479041813,0.006396256991648912
Gradient boosting,ENN,0.6783472213788599,0.23923444884542616,0.11945898731966144,0.391459509250226,0.06465580787791925,0.1986683327542224,0.5,823,1733,45698,6517,0.8493728432929835,0.32198748043818465,0.11212534059945505,0.9634627142586072,0.16632983023443815,0.5377940274290312,0.32867702230475704,0.12208274175432303,0.00936902815429153,0.005214340675636133
Gradient boosting,SMOTE-Tomek,0.6687628183478573,0.23177291365571334,0.11250453201528644,0.3760117958074981,0.022197194094309185,0.1547477719241615,0.5,171,289,47142,7169,0.8638330503368571,0.3717391304347826,0.02329700272479564,0.993906938500137,0.04384615384615385,0.5086019706124664,0.15216784369383363,0.064222070826226,0.01002950265865897,0.0046825556332759
Gradient boosting,SMOTE-ENN,0.6724949542364049,0.23445306842654737,0.1536675542828851,0.47283858608492796,0.15350846094617793,0.2875209858224811,0.5,2466,7143,40288,4874,0.780595570648701,0.25663440524508274,0.3359673024523161,0.8494022896417954,0.29099061891557026,0.5926847960470558,0.534201643527774,0.16603207091064495,0.009645972471076965,0.010624635909545084
