method,roc_auc,pr_auc,ece,mean_predicted,f1_at_half,recall_at_half,f1_at_best
None,0.6784376984274934,0.24217788122222578,0.005557152638822039,0.13397020591363876,0.01865423051299134,0.009536784741144414,0.31636958580900715
Class weight,0.6786409766500335,0.2424653682961891,0.32703014670417896,0.46104267158048207,0.3086876771719193,0.6305177111716621,0.31604235252246643
Random over,0.6786741842172341,0.24247519498053424,0.3273969188673712,0.4614094437436743,0.30907696923230776,0.6316076294277929,0.3162137810025134
Random under,0.6781190080390405,0.242193411676986,0.32741771918309914,0.4614302440594023,0.30817421440234594,0.6299727520435967,0.31626297577854673
SMOTE,0.6752267326287312,0.23879045809869842,0.32559061936006584,0.45960314423636894,0.30522987748649716,0.6313351498637603,0.315891047852976
ADASYN,0.6736742293135757,0.23668461986250552,0.3383481750569936,0.47236069993329677,0.3029219964885879,0.658174386920981,0.3148015655906738
Tomek links,0.6785320244632429,0.24214867091145786,0.00902980202357304,0.14127126217117372,0.02848101265822785,0.014713896457765668,0.31633743899604927
ENN,0.6791985483918501,0.24300887180684522,0.06431802171867816,0.1983305465949814,0.15888633033284488,0.10340599455040872,0.3164020745080961
SMOTE-Tomek,0.6752339164472219,0.23880580056546438,0.32554761047396835,0.45956013535027146,0.30524998353204663,0.6313351498637603,0.3160504759796325
SMOTE-ENN,0.6764435554369327,0.23952520381568967,0.4754792468322527,0.6094917717085558,0.2819868874319369,0.8643051771117166,0.31695128840220743
