decile,loans,mean_predicted,observed_default_rate,defaults,mean_loan_amount,principal_at_risk
1,2348,0.03692163918802407,0.030238500851788756,71,11469.442078364566,956875.0
2,2348,0.057552246920919384,0.05877342419080068,138,10861.499148211244,1365475.0
3,2348,0.07544399664280309,0.0873083475298126,205,10629.982964224871,2153200.0
4,2348,0.09266782667775944,0.10051107325383304,236,10794.03747870528,2523975.0
5,2347,0.10991523908903728,0.10907541542394546,256,10870.696634000853,2712700.0
6,2347,0.1278537417812734,0.1367703451214316,321,10497.933532168727,3508525.0
7,2347,0.14930034578062384,0.1401789518534299,329,10474.733702599062,3398500.0
8,2347,0.1753902678001601,0.1798040051129101,422,10925.628461866212,4659550.0
9,2347,0.21132281239879916,0.21729867916489135,510,10809.94887089902,5369650.0
10,2347,0.30141448748285704,0.2803579037068598,658,10789.092458457606,7074525.0
