n,scheme,fold_rate_sd,fold_rate_range,folds_with_no_default
200,K-fold,0.07164862027512695,0.21875,0.375
200,Stratified k-fold,0.022308610468448266,0.05,0.0
500,K-fold,0.051824525302749634,0.1575,0.0
500,Stratified k-fold,0.006271312834334733,0.01500000000000001,0.0
1000,K-fold,0.035946805428617966,0.11375,0.0
1000,Stratified k-fold,0.003983057666281925,0.008750000000000004,0.0
2500,K-fold,0.019653648366196274,0.0625,0.0
2500,Stratified k-fold,0.0018480419623457425,0.004,0.0
5000,K-fold,0.015867258184575662,0.051750000000000004,0.0
5000,Stratified k-fold,0.0009367110744187359,0.0020000000000000018,0.0
20000,K-fold,0.009533192211230022,0.030249999999999992,0.0
20000,Stratified k-fold,0.00016128640631988514,0.00037500000000000033,0.0
